ID,Num,Time,TransX,TransY,TransZ,RotX,RotY,RotZ
150,29,1441926065378,4.050989,6.253655,2.2601264,1.5026522,-0.6653086,-0.4303164
150,29,1441926065395,3.4380736,5.861006,2.5091233,1.5234215,-0.87178105,-0.36800814
150,29,1441926065412,3.1411927,5.410896,2.6048915,1.467222,-1.0012845,-0.32524756
150,29,1441926065412,2.6623523,5.1140146,2.384625,1.3511575,-1.0208322,-0.2898174
150,29,1441926065429,2.1547816,4.8937483,2.2218192,1.231428,-1.0037279,-0.25683066
150,29,1441926065429,2.0398598,4.7022123,1.9536686,1.1104766,-1.0000628,-0.22995259
150,29,1441926065445,2.078167,4.721366,1.5897499,1.0176251,-1.0073931,-0.1786399
150,29,1441926065461,1.8004397,4.606444,1.2354081,0.95776033,-1.0868056,-0.14443146
150,29,1441926065462,1.5227122,4.462792,1.1204864,0.92721707,-1.2126439,-0.13587934
150,29,1441926065478,1.4460979,4.462792,1.2066777,0.8783479,-1.3140475,-0.10533608
150,29,1441926065478,1.1587936,4.4723687,1.3311762,0.7940485,-1.4240032,-0.06990589
150,29,1441926065494,1.0055647,4.673482,1.4460979,0.70119697,-1.502194,-0.0662407
150,29,1441926065510,1.0055647,4.7309427,1.5131354,0.5997933,-1.5083027,-0.079679735
150,29,1441926065511,1.2354081,4.7500963,1.5131354,0.5093852,-1.4802028,-0.096783966
150,29,1441926065527,1.5514427,4.7309427,1.3790601,0.4385249,-1.4802028,-0.12610549
150,29,1441926065528,1.7046716,4.6926355,1.340753,0.38965568,-1.5107461,-0.17497471
150,29,1441926065543,1.5897499,4.855441,1.1683705,0.38965568,-1.5571718,-0.17497471
150,29,1441926065560,1.2354081,5.2289367,0.90979666,0.3310126,-1.5571718,-0.1823051
150,29,1441926065560,0.6607997,5.6120086,0.7086837,0.2577088,-1.597489,-0.17008778
150,29,1441926065577,-0.038307227,6.0621185,0.4405331,0.1782963,-1.592602,-0.17253125
150,29,1441926065578,-0.61291564,6.2249246,0.4309563,0.1379792,-1.5816065,-0.18963549
150,29,1441926065593,-1.292869,6.215348,0.6799533,0.112322845,-1.5693892,-0.24950027
150,29,1441926065609,-2.135628,6.1195793,0.90979666,0.04879286,-1.5351807,-0.37167332
150,29,1441926065610,-2.767697,6.033388,1.2449849,-0.062384613,-1.4753159,-0.55004597
150,29,1441926065625,-3.3135753,5.535394,1.0151415,-0.21876612,-1.3250431,-0.70764923
150,29,1441926065628,-3.916914,5.2002063,0.7374141,-0.3751476,-1.0965794,-0.75774014
150,29,1441926065643,-4.280833,5.21936,0.7565677,-0.45822528,-0.9915106,-0.66977555
150,29,1441926065658,-4.4340615,5.391742,1.0151415,-0.47532952,-1.0159453,-0.49262464
150,29,1441926065659,-4.6160207,5.746084,1.3982137,-0.45822528,-1.1161271,-0.25194374
150,29,1441926065675,-4.8458643,6.090849,1.8195933,-0.43623415,-1.1967614,-0.029588785
150,29,1441926065678,-4.912902,6.2728086,2.384625,-0.4179082,-1.2285264,0.097471185
150,29,1441926065691,-4.8745947,6.2823853,2.873042,-0.43256894,-1.1796571,0.10968849
150,29,1441926065708,-4.8267107,6.1866174,2.920926,-0.522977,-0.9866237,0.049823698
150,29,1441926065708,-4.6351743,5.93762,2.5570073,-0.63781965,-0.73128206,-0.0381409
150,29,1441926065724,-4.3478703,5.583278,2.480393,-0.71601045,-0.50281847,-0.118775114
150,29,1441926065728,-4.0892963,5.1810527,2.5378537,-0.78564906,-0.35865426,-0.1505401
150,29,1441926065741,-3.821146,4.76925,2.2888567,-0.88583094,-0.29023734,-0.11510992
150,29,1441926065757,-3.5817258,4.711789,2.3558946,-0.96035653,-0.28290698,-0.025923593
150,29,1441926065758,-3.3614593,4.865018,2.5091233,-1.0446559,-0.28290698,0.08769734
150,29,1441926065773,-3.1794999,5.104438,2.4229321,-1.1497247,-0.2755766,0.17566194
150,29,1441926065778,-2.920926,5.4204726,2.3175871,-1.2523501,-0.2242639,0.2220877
150,29,1441926065790,-2.767697,5.765238,2.2697031,-1.370858,-0.13507758,0.25751787
150,29,1441926065806,-2.6527755,6.157887,2.4037786,-1.370858,-0.09476047,0.2550744
